日期,小時,供應商名稱,網站,網站名稱,版位編號,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads,Eligible Ads for Viewability,Measured Ads,% Measured Ads,Viewable Impressions,% Viewable Impressions,Non-Viewable Ads,% Non-Viewable Ads,Average Time In View (Sec)
20260126,15,富盈數據股份有限公司,3654,TVBS-健康2.0_HB,21768,MW_文中創意320x480_TVBS-健康2.0_HB,,知名媒體,,"2,955","1,372","1,372",100.00%,949,69.17%,423,30.83%,22.67
20260126,15,富盈數據股份有限公司,3655,TVBS-食尚玩家_HB,21773,MW_文中創意320x480_TVBS-食尚玩家_HB,,知名媒體,,245,121,121,100.00%,88,72.73%,33,27.27%,18.07
20260126,15,儂儂雜誌社股份有限公司(bella儂儂),2135,Bella儂儂_2024,21876,MW-300x250_文章標題上方1_Bella儂儂,,知名媒體,,532,265,265,100.00%,123,46.42%,142,53.58%,3.11
20260126,15,富盈數據股份有限公司,3684,稅美人_mobile,21923,MW_置底創意(非展開)_稅美人-mobile,,,,301,150,150,100.00%,141,94.00%,9,6.00%,16.63
20260126,15,富盈數據股份有限公司,3685,玩桌遊_mobile,21924,MW_置底創意(非展開)_玩桌遊-mobile,,,,263,130,130,100.00%,117,90.00%,13,10.00%,17.36
20260126,15,富盈數據股份有限公司,2615,熱血台中,21986,CF_336x280_全網_熱血台中,,,,6,3,3,100.00%,0,0.00%,3,100.00%,0.00
20260126,15,富盈數據股份有限公司,2615,熱血台中,21987,CF_336x280_全網_熱血台中,,,,12,6,6,100.00%,2,33.33%,4,66.67%,3.33
20260126,15,富盈數據股份有限公司,3704,天天要聞,22030,CF_300 x 250 banner_天天要聞_cpc2,,,,"1,326",660,660,100.00%,527,79.85%,133,20.15%,8.14
20260126,15,富盈數據股份有限公司,3703,繁體小說,22031,CF_300 x 250 banner_繁體小說_cpc2,,,,148,72,72,100.00%,54,75.00%,18,25.00%,7.94
20260126,15,朱光宁,3708,石頭小說,22045,CF_336 x 280 banner_石頭小說_cpc1.67,antifroud,,,"69,599","34,171","34,171",100.00%,"21,139",61.86%,"13,032",38.14%,5.07
20260126,15,噗浪股份有限公司,58,Plurk_Mobile,22054,MA_(1)300 x 250 橫幅_Plurk,,知名媒體,,6,2,2,100.00%,1,50.00%,1,50.00%,2.50
20260126,15,朱光宁,3718,稷下書院2,22093,CF_336 x 280 banner_稷下書院2_cpc1.67,antifroud,,,"65,043","31,973","31,973",100.00%,"19,704",61.63%,"12,269",38.37%,5.14
20260126,15,闇碼科技股份有限公司,3048,縮短網址產生器-reurl,22213,MW_蓋版_縮短網址產生器-reurl-2025.05(特殊供量),,知名媒體,,178,46,46,100.00%,14,30.43%,32,69.57%,0.99
20260126,15,艾得基客行銷顧問股份有限公司,3724,上報,22217,MW_置底創意(非展開)_上報,,知名媒體,,383,189,189,100.00%,178,94.18%,11,5.82%,38.41
20260126,15,艾得基客行銷顧問股份有限公司,3724,上報,22218,MW_置底(展開)_上報,,知名媒體,,455,224,224,100.00%,199,88.84%,25,11.16%,37.06
20260126,15,艾得基客行銷顧問股份有限公司,2689,Basketball Top5,22219,MW_置底(展開)_Basketball TOP5,,,,56,28,28,100.00%,23,82.14%,5,17.86%,11.39
20260126,15,欣發現股份有限公司,3363,大人物-mobile,22222,MW_蓋板_大人物,,知名媒體,,50,20,20,100.00%,4,20.00%,16,80.00%,3.38
